species,decimalLatitude,decimalLongitude
Alectura lathami,-20.33638543415252,137.5274523500697
Alectura lathami lathami,-17.471109999999996,140.835
Alectura lathami lathami,-17.440830000000002,140.84083
Alectura lathami lathami,-17.490000000000002,140.83666
Alectura lathami lathami,-17.505559999999996,140.82194
Alectura lathami lathami,-17.490830000000003,140.83611000000002
Alectura lathami lathami,-17.50472,140.82416
Alectura lathami lathami,-17.46361,140.83
Alectura lathami lathami,-17.45027,140.91083
